Category,Name,Address,Place_ID,Latitude,Longitude,Rating,Total_Ratings,Phone,Intl_Phone,Website
Police Station,N1-Royapuram Police Station,"46, 57, Arathoon Road, Pudumanaikuppam, Royapuram, Chennai",ChIJ6xOhYm5vUjoRubs-QKdUGjM,13.1118355,80.2938762,,,044 2345 2504,+91 44 2345 2504,https://eservices.tnpolice.gov.in/
Police Station,Elliots Beach Police Booth,"272C+7FQ, 6th Avenue, Elliots Beach, Besant Nagar, Chennai",ChIJwe_lYftnUjoRAwDgds0Rl9k,13.0007137,80.2712202,,,,,
Police Station,C1 Flower Bazaar Police Station,"37QJ+8MW, Rattan Bazaar Road, Rattan Bazaar, George Town, Chennai",ChIJdbhnqFZvUjoRzVYoCh8BWTE,13.0883724,80.2817022,,,044 2345 2465,+91 44 2345 2465,http://www.tnpolice.gov.in/
Police Station,"Police Station, J-1 Saidapet","49/1, Anna Salai, West Saidapet, Saidapet, Chennai",ChIJKyEwTw9nUjoRNJQI9vAGtv8,13.0223715,80.2261477,,,044 2433 0571,+91 44 2433 0571,http://www.tnpolice.gov.in/
Police Station,KK Nagar Police Station,"85, PT Rajan Road, Sector 2, K. K. Nagar, Chennai",ChIJ7zZDadxmUjoRx93JxJAMp-Y,13.0417306,80.20542329999999,,,063831 00100,+91 63831 00100,http://www.tnpolice.gov.in/
Police Station,K8 Arumbakkam Police Station,"MMDA Colony, Water Tank Road, MMDA Colony, Balavinayagar Nagar, Chennai",ChIJ4ZMxYpdmUjoREaUUAAfzCc0,13.0687214,80.213805,,,044 2345 2733,+91 44 2345 2733,http://www.tnpolice.gov.in/
Police Station,"Office of the I.G. of Police, Economic Offences Wing,","36P7+2X2, 2nd Avenue, X Block, Tower Park, Anna Nagar, Chennai",ChIJK3csTiFkUjoRSqEMk1m8kHE,13.0850167,80.2148914,,,,,
Police Station,Railway Protection Force,"36X9+QM8, RPF, TTC, ICF, Apprentices Avenue, ICF North Colony, Chennai",ChIJ7wXluTlkUjoRugkig6J9VOA,13.0994028,80.21920639999999,,,,,"https://sr.indianrailways.gov.in/view_section.jsp?fontColor=black&backgroundColor=LIGHTSTEELBLUE&lang=0&id=0,1,304,382,523"
Police Station,TAMIL NADU Police Head Quarters,"01, Doctor Radha Krishnan Salai, Mylapore, Chennai",ChIJB7a1h4FoUjoRmO3qzAh1YJw,13.0359743,80.2778472,,,044 2844 7777,+91 44 2844 7777,http://tnpolice.gov.in/
Police Station,D8 Kasturi Bagh Gandhi Hospital Police Station,"376H+9R9, Victoria Hostel Road, Chepauk, Triplicane, Chennai",ChIJ8ZCXmp9oUjoRifwP6kZ4S-M,13.0609023,80.279611,,,044 2345 2672,+91 44 2345 2672,http://www.tnpolice.gov.in/
Police Station,Railway Police Station - Chennai Central,"37MG+432, Station Road, Periamet, Kannappar Thidal, Chennai",ChIJgQ5H2_9lUjoRcP-SXgwyIfg,13.0827504,80.2751387,,,,,
Police Station,Office of Commissioner of Police,"132, East VK Sampath Road, Periamet, Vepery, Chennai",ChIJD7B3Aw9mUjoRVx2hrBpTjWU,13.0812021,80.2631902,,,044 2345 2380,+91 44 2345 2380,https://www.tn.gov.in/detail_contact/7196/4
Police Station,F1 Chintadripet Police Station,"37FC+WXJ, Arunachallam Street, Chintadripet, Chennai",ChIJdSkAlQNmUjoRbkYCXOglnVs,13.0748282,80.2723757,,,094981 00027,+91 94981 00027,http://www.tnpolice.gov.in/
Police Station,Railway Police,"37H7+X2G, Egmore Station Road, Poonamallee High Road, Mahaveer Colony, Egmore, Chennai",ChIJIei6swlmUjoRWyakLdAN6CU,13.079934,80.2625644,,,078702 70641,+91 78702 70641,https://www.tn.gov.in/detail_contact/7022/4
Police Station,Police chouki,"130, Avadhanam Papier Road, Choolai, Chennai",ChIJb-VW0eRlUjoRCMjnxKuSWKs,13.0900157,80.26505619999999,,,,,
Police Station,D1 Police Station,"379F+72R, Wallahjah Road, Triplicane, Chennai",ChIJ_4IiTBxmUjoRr_gxCg-q6xI,13.0682398,80.2725057,,,044 2345 2655,+91 44 2345 2655,http://www.tnpolice.gov.in/
Police Station,Police Station,"66/122, Amman Koil St Maskan Chavadi, Amman Koil Street, Maskan Chavadi, Amman Koil North, George Town, Chennai",ChIJsQIcW1lvUjoRkJHjrablMIY,13.0987628,80.281719,,,,,https://eservices.tnpolice.gov.in/CCTNSNICSDC/PSHomePage
Police Station,Roy Academy,"340, 3rd Floor, Sri Kumaran Complex, Paper Mills Road, Perambur, Chennai",ChIJVXsmSLdlUjoR5t_ak5RoQ7U,13.1090839,80.24202389999999,4.1,13,095006 08007,+91 95006 08007,
Police Station,Police Station Aminjikarai,"36, Harrington Road, Shenoy Nagar, Aminjikarai, Chennai",ChIJTyci9YdmUjoRMQhDnVWl2T4,13.0706318,80.2319497,,,,,
Police Station,Police Chauki,"368J+CW4, Nelson Manickam Road, Sowrashtra Nagar, Chetpet, Chennai",ChIJFchJeWJmUjoRbZJxWK7H0-k,13.0660198,80.2323165,,,,,
Police Station,Mylapore Police Station,"27P9+8X3, Kutchery Road, Madhavaperumalpuram, Mylapore, Chennai",ChIJuebNR9NnUjoRN2yRF4Pw7N4,13.0357746,80.2699354,,,044 2345 2562,+91 44 2345 2562,
Police Station,K 9 Thiru.Vi.Ka.Nagar Police Station,"25/12, Sathiyanarayanan Street, Perambur, Chennai",ChIJlUHkv6tlUjoR8p_SYxoV5a4,13.1224567,80.23618139999999,,,044 2345 2736,+91 44 2345 2736,http://www.tnpolice.gov.in
Police Station,Police Station,"64, Arcot Road, Kamarajar Colony, Dr.Subbaraya Nagar, Kodambakkam, Chennai",ChIJ__ry4O1mUjoR1ST5y4D4CfI,13.0519347,80.2196483,,,,,https://eservices.tnpolice.gov.in/CCTNSNICSDC/PSHomePage
Police Station,State Crime Records Bureau,"95, Greenways Road, MRC Nagar, Raja Annamalai Puram, Chennai",ChIJGeYn5n9oUjoRSclG-FpxaDQ,13.0227735,80.271575,,,044 2495 7878,+91 44 2495 7878,http://www.tnpolice.gov.in/
Police Station,K11 CMBT Police Station,"3693+CRH, CMBT Passenger Way, Koyambedu, Chennai",ChIJTXKerbxmUjoRWQUxBHzfHp0,13.0685635,80.20462359999999,,,,,
Police Station,Chennai Metropolitan Police,"268R+WCG, Gandhi Mandapam Road, Duraisamy Nagar, Kotturpuram, Chennai",ChIJOXT6caNnUjoR5S6C1cs4GIk,13.0173011,80.2410645,,,,,
Police Station,R6 Police Help Centre,"No.37, Kodambakkam Road, Saidapet, Chennai",ChIJE9SQphxnUjoRCD1zmwVguwo,13.0295403,80.22014,,,,,
Police Station,CBI,"X7X5+MJ7, Shastri Nagar, Adyar, Chennai",ChIJF_gzM_JnUjoRm7zgcHTnX-E,12.9991538,80.2590398,,,044 2827 3186,+91 44 2827 3186,https://cbi.gov.in/
